,speed
0,car:1km/H
1,car:0km/H
2,car:1km/H
3,truck:1km/H
4,car:0km/H
5,truck:0km/H
6,car:0km/H
7,car:1km/H
8,car:0km/H
9,car:0km/H
10,car:0km/H
11,truck:1km/H
12,car:0km/H
13,truck:0km/H
14,car:0km/H
15,car:1km/H
16,car:0km/H
17,car:0km/H
18,car:0km/H
19,truck:0km/H
20,car:0km/H
21,truck:0km/H
22,car:0km/H
23,car:1km/H
24,car:0km/H
25,car:0km/H
26,car:0km/H
27,truck:0km/H
28,car:0km/H
29,truck:0km/H
30,car:0km/H
31,car:0km/H
32,car:0km/H
33,car:0km/H
34,car:0km/H
35,truck:0km/H
36,car:0km/H
37,truck:0km/H
38,car:0km/H
39,car:0km/H
40,car:0km/H
41,car:0km/H
42,car:0km/H
43,truck:0km/H
44,car:0km/H
45,truck:0km/H
46,car:0km/H
47,car:1km/H
48,car:0km/H
49,car:0km/H
50,car:0km/H
51,truck:1km/H
52,car:0km/H
53,truck:0km/H
54,car:0km/H
55,car:1km/H
56,car:0km/H
57,car:0km/H
58,car:0km/H
59,truck:0km/H
60,car:0km/H
61,truck:0km/H
62,car:0km/H
63,car:1km/H
64,car:0km/H
65,car:0km/H
66,car:0km/H
67,truck:0km/H
68,car:0km/H
69,truck:0km/H
70,car:0km/H
71,car:1km/H
72,car:0km/H
73,car:0km/H
74,car:0km/H
75,truck:1km/H
76,car:0km/H
77,truck:0km/H
78,car:0km/H
79,car:1km/H
80,car:0km/H
81,car:0km/H
82,car:0km/H
83,truck:0km/H
84,car:0km/H
85,truck:0km/H
86,car:0km/H
87,car:1km/H
88,car:0km/H
89,car:0km/H
90,car:0km/H
91,truck:0km/H
92,car:0km/H
93,truck:0km/H
94,car:0km/H
95,car:1km/H
96,car:0km/H
97,car:0km/H
98,car:0km/H
99,truck:0km/H
100,car:0km/H
101,truck:0km/H
102,car:0km/H
103,car:1km/H
104,car:0km/H
105,car:0km/H
106,car:0km/H
107,truck:0km/H
108,car:0km/H
109,truck:0km/H
110,car:0km/H
111,car:1km/H
112,car:0km/H
113,car:0km/H
114,car:0km/H
115,truck:0km/H
116,car:0km/H
117,truck:0km/H
118,car:0km/H
119,car:1km/H
120,car:0km/H
121,car:0km/H
122,car:0km/H
123,truck:0km/H
124,car:0km/H
125,truck:0km/H
126,car:0km/H
127,car:1km/H
128,car:0km/H
129,car:0km/H
130,car:0km/H
131,car:0km/H
132,truck:0km/H
133,car:0km/H
134,car:1km/H
135,car:0km/H
136,car:0km/H
137,car:0km/H
138,car:0km/H
139,truck:0km/H
140,car:0km/H
141,car:1km/H
142,car:0km/H
143,car:0km/H
144,car:0km/H
145,car:0km/H
146,truck:0km/H
147,car:0km/H
148,car:1km/H
149,car:0km/H
150,car:0km/H
151,car:0km/H
152,car:0km/H
153,truck:0km/H
154,car:0km/H
155,car:1km/H
156,car:0km/H
157,car:0km/H
158,car:0km/H
159,car:0km/H
160,truck:0km/H
161,car:0km/H
162,car:1km/H
163,car:0km/H
164,car:0km/H
165,car:0km/H
166,truck:0km/H
167,car:0km/H
168,truck:0km/H
169,car:0km/H
170,car:1km/H
171,car:0km/H
172,car:0km/H
173,car:0km/H
174,truck:0km/H
175,car:0km/H
176,truck:0km/H
177,car:0km/H
178,car:1km/H
179,car:0km/H
180,car:0km/H
181,car:0km/H
182,truck:0km/H
183,car:0km/H
184,truck:0km/H
185,car:0km/H
186,car:1km/H
187,car:0km/H
188,car:0km/H
189,car:0km/H
190,car:0km/H
191,truck:0km/H
192,car:0km/H
193,car:1km/H
194,car:0km/H
195,car:0km/H
196,car:0km/H
197,car:0km/H
198,truck:0km/H
199,car:0km/H
200,car:1km/H
201,car:0km/H
202,car:0km/H
203,car:0km/H
204,car:0km/H
205,truck:0km/H
206,car:0km/H
207,car:1km/H
208,car:0km/H
209,car:0km/H
210,car:0km/H
211,car:0km/H
212,truck:0km/H
213,car:0km/H
214,car:1km/H
215,car:0km/H
216,car:0km/H
217,car:0km/H
218,car:0km/H
219,truck:0km/H
220,car:0km/H
221,car:1km/H
222,car:0km/H
223,car:0km/H
224,car:0km/H
225,car:0km/H
226,truck:0km/H
227,car:0km/H
228,car:1km/H
229,car:0km/H
230,car:0km/H
231,car:0km/H
232,car:0km/H
233,truck:0km/H
234,car:0km/H
235,car:1km/H
236,car:0km/H
237,car:0km/H
238,car:0km/H
239,car:0km/H
240,truck:0km/H
241,car:0km/H
242,car:1km/H
243,car:0km/H
244,car:0km/H
245,car:0km/H
246,car:0km/H
247,truck:0km/H
248,car:0km/H
249,car:1km/H
250,car:0km/H
251,car:0km/H
252,car:0km/H
253,car:0km/H
254,truck:0km/H
255,car:0km/H
256,car:1km/H
257,car:0km/H
258,car:0km/H
259,car:0km/H
260,car:0km/H
261,truck:0km/H
262,car:0km/H
263,car:1km/H
264,car:0km/H
265,car:0km/H
266,car:0km/H
267,car:0km/H
268,truck:0km/H
269,car:0km/H
270,car:1km/H
271,car:0km/H
272,car:0km/H
273,car:0km/H
274,car:0km/H
275,truck:0km/H
276,car:0km/H
277,car:1km/H
278,car:0km/H
279,car:0km/H
280,car:0km/H
281,car:0km/H
282,truck:0km/H
283,car:0km/H
284,car:1km/H
285,car:0km/H
286,car:0km/H
287,car:0km/H
288,car:0km/H
289,truck:0km/H
290,car:0km/H
291,car:1km/H
292,car:0km/H
293,car:0km/H
294,car:0km/H
295,car:0km/H
296,truck:0km/H
297,car:0km/H
298,car:1km/H
299,car:0km/H
300,car:0km/H
301,car:0km/H
302,car:0km/H
303,truck:0km/H
304,car:0km/H
305,car:1km/H
306,car:0km/H
307,car:0km/H
308,car:0km/H
309,car:0km/H
310,truck:0km/H
311,car:0km/H
312,car:1km/H
313,car:0km/H
314,car:0km/H
315,car:0km/H
316,car:0km/H
317,truck:0km/H
318,car:0km/H
319,car:1km/H
320,car:0km/H
321,car:0km/H
322,car:0km/H
323,car:0km/H
324,truck:0km/H
325,car:0km/H
326,car:1km/H
327,car:0km/H
328,car:0km/H
329,car:0km/H
330,car:0km/H
331,truck:0km/H
332,car:0km/H
333,car:1km/H
334,car:0km/H
335,car:0km/H
336,car:0km/H
337,car:0km/H
338,truck:0km/H
339,car:0km/H
340,car:1km/H
341,car:0km/H
342,car:0km/H
343,car:0km/H
344,car:0km/H
345,truck:0km/H
346,car:0km/H
347,car:1km/H
348,car:0km/H
349,car:0km/H
350,car:0km/H
351,car:0km/H
352,truck:0km/H
353,car:0km/H
354,car:1km/H
355,car:0km/H
356,car:0km/H
357,car:0km/H
358,car:0km/H
359,truck:0km/H
360,car:0km/H
361,car:1km/H
362,car:0km/H
363,car:0km/H
364,car:0km/H
365,car:0km/H
366,truck:0km/H
367,car:0km/H
368,car:1km/H
369,car:0km/H
370,car:0km/H
371,car:0km/H
372,car:0km/H
373,truck:0km/H
374,car:0km/H
375,car:1km/H
376,car:0km/H
377,car:0km/H
378,car:0km/H
379,car:0km/H
380,truck:0km/H
381,car:0km/H
382,car:1km/H
383,car:0km/H
384,car:0km/H
385,car:0km/H
386,car:0km/H
387,truck:0km/H
388,car:0km/H
389,car:1km/H
390,car:0km/H
391,car:0km/H
392,car:0km/H
393,car:0km/H
394,truck:0km/H
395,car:0km/H
396,car:1km/H
397,car:0km/H
398,car:0km/H
399,car:0km/H
400,car:0km/H
401,truck:0km/H
402,car:0km/H
403,car:1km/H
404,car:0km/H
405,car:0km/H
406,car:0km/H
407,car:0km/H
408,truck:0km/H
409,car:0km/H
410,car:1km/H
411,car:0km/H
412,car:0km/H
413,car:0km/H
414,car:0km/H
415,truck:0km/H
416,car:0km/H
417,car:1km/H
418,car:1km/H
419,car:0km/H
420,car:0km/H
421,car:0km/H
422,car:0km/H
423,truck:0km/H
424,car:0km/H
425,car:1km/H
426,car:0km/H
427,car:0km/H
428,car:0km/H
429,car:0km/H
430,car:0km/H
431,truck:0km/H
432,car:0km/H
433,car:1km/H
434,car:0km/H
435,car:0km/H
436,car:0km/H
437,car:0km/H
438,truck:0km/H
439,car:0km/H
440,car:1km/H
441,car:0km/H
442,car:0km/H
443,car:0km/H
444,car:0km/H
445,truck:0km/H
446,car:0km/H
447,car:1km/H
448,car:0km/H
449,car:0km/H
450,car:0km/H
451,car:0km/H
452,truck:0km/H
453,car:0km/H
454,car:1km/H
455,car:0km/H
456,car:0km/H
457,car:0km/H
458,car:0km/H
459,truck:0km/H
460,car:0km/H
461,car:1km/H
462,car:0km/H
463,car:0km/H
464,car:0km/H
465,car:0km/H
466,truck:0km/H
467,car:0km/H
468,car:1km/H
469,car:0km/H
470,car:0km/H
471,car:0km/H
472,car:0km/H
473,car:0km/H
474,truck:0km/H
475,car:0km/H
476,car:1km/H
